node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax
0,DimNode 0,9395F5F5-2CF4-4DD0-B40B-343674E421F7,00000000-0000-0000-0000-000000000000,0.00,0.00,33.18,24.87,Dim Node 0,33.17,24.87,0.0,33.18,24.88,0.0
1,DimNode 1,9395F5F5-2CF4-4DD0-B40B-343674E421F7,00000000-0000-0000-0000-000000000000,4.61,4.61,37.79,24.87,Dim Node 1,37.78,24.87,0.0,37.79,24.88,0.0
2,Dimension,9395F5F5-2CF4-4DD0-B40B-343674E421F7,,,4.61,,,Dim 1,33.1,24.72,0.0,37.87,25.02,0.0
3,DimNode 2,1F714698-575A-488F-A8A0-0BC34555C849,00000000-0000-0000-0000-000000000000,0.00,0.00,30.13,27.17,Dim Node 2,30.12,27.17,0.0,30.13,27.18,0.0
4,DimNode 3,1F714698-575A-488F-A8A0-0BC34555C849,00000000-0000-0000-0000-000000000000,5.75,5.75,35.88,27.17,Dim Node 3,35.87,27.17,0.0,35.88,27.18,0.0
5,Dimension,1F714698-575A-488F-A8A0-0BC34555C849,,,5.75,,,Dim 2,30.05,27.02,0.0,35.96,27.32,0.0
6,DimNode 4,34CAF900-6905-7911-D7D7-665996673EFA,00000000-0000-0000-0000-000000000000,0.00,0.00,29.3,27.45,Dim Node 4,29.29,27.45,0.0,29.3,27.46,0.0
7,DimNode 5,34CAF900-6905-7911-D7D7-665996673EFA,00000000-0000-0000-0000-000000000000,5.75,5.75,35.05,27.45,Dim Node 5,35.04,27.45,0.0,35.05,27.46,0.0
8,Dimension,34CAF900-6905-7911-D7D7-665996673EFA,,,5.75,,,Dim 3,29.22,27.3,0.0,35.13,27.6,0.0
9,DimNode 6,4C353BA0-226C-DDD3-BDB0-9F3E18F34954,00000000-0000-0000-0000-000000000000,0.00,0.00,32.35,25.15,Dim Node 6,32.34,25.15,0.0,32.35,25.16,0.0
10,DimNode 7,4C353BA0-226C-DDD3-BDB0-9F3E18F34954,00000000-0000-0000-0000-000000000000,4.61,4.61,36.96,25.15,Dim Node 7,36.95,25.15,0.0,36.96,25.16,0.0
11,Dimension,4C353BA0-226C-DDD3-BDB0-9F3E18F34954,,,4.61,,,Dim 4,32.27,25.0,0.0,37.04,25.3,0.0
12,DimNode 8,F563FD7E-77CA-4F15-ADD7-D74DA6837072,00000000-0000-0000-0000-000000000000,0.00,0.00,402.37,-317.56,Dim Node 8,402.37,-317.56,0.0,402.38,-317.55,0.0
13,DimNode 9,F563FD7E-77CA-4F15-ADD7-D74DA6837072,00000000-0000-0000-0000-000000000000,37.51,37.51,435.53,-300.02,Dim Node 9,435.52,-300.03,0.0,435.53,-300.02,0.0
14,Dimension,F563FD7E-77CA-4F15-ADD7-D74DA6837072,,,37.51,,,Dim 5,402.22,-317.64,0.0,435.68,-299.94,0.0
15,DimNode 10,2E373F28-DC6A-445C-BD7B-F1459DEDD777,00000000-0000-0000-0000-000000000000,0.00,0.00,436.59,-297.41,Dim Node 10,436.59,-297.41,0.0,436.6,-297.4,0.0
16,DimNode 11,2E373F28-DC6A-445C-BD7B-F1459DEDD777,00000000-0000-0000-0000-000000000000,12.20,12.20,433.7,-285.56,Dim Node 11,433.69,-285.57,0.0,433.7,-285.56,0.0
